anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
Looking Up at the Half-Moon,9,40,"comedy,drama,romance",1,1,0,0,1,7,4.44
Tsukimonogatari,7,34,"comedy,supernatural,drama,action,harem,fantasy",0,0,0,0,1,6,4.86
Soul Link,2,4,sci-fi,1,1,0,1,0,0,2.0
Free! Iwatobi Swim Club,473,2198,"sports,drama",10,10,8,11,81,363,4.65
Eyeshield 21,8466,41028,"action,comedy,sports",99,99,43,115,547,7662,4.85
Full Metal Panic? Fumoffu,10,46,"action,comedy,slice of life,mecha",0,0,0,1,2,7,4.6
Space Brothers,340,1638,"drama,slice of life,sci-fi",0,0,2,10,36,292,4.82
Hanamaru Kindergarten,826,3934,"slice of life,comedy,adventure",6,6,3,26,111,680,4.76
ALL OUT!!,38,186,"sports,drama,action",0,0,0,1,2,35,4.89
Inuyasha the Movie 3: Swords of an Honorable Ruler,0,0,"action,adventure,romance,fantasy",0,0,0,0,0,0,0.0
gdgd men's party,6,24,comedy,1,1,0,0,2,3,4.0
Wild Mom,9,44,,0,0,0,0,1,8,4.89
Fuuka,132,449,"drama,romance,music,shonen",21,21,22,21,19,49,3.4
TWOCAR,11,28,"sports,action,seinen",4,4,2,2,1,2,2.55
Somali and the Forest Spirit,55,263,"fantasy,adventure,drama",1,1,0,2,4,48,4.78
A Talk on Titan,11,18,,9,9,0,0,1,1,1.64
The Last - Naruto the Movie,5,25,"shonen,romance",0,0,0,0,0,5,5.0
Blast of Tempest,226,1013,"shonen,adventure,action,fantasy,mystery",2,2,10,17,45,152,4.48
Gundam Build Divers,16,60,"mecha,action,sci-fi,slice of life",1,1,1,5,3,6,3.75
Last Cinderella,28,137,,0,0,0,0,3,25,4.89
Anima Yell!,16,74,"slice of life,sports,comedy",0,0,0,0,6,10,4.62
Moyashimon,28,126,"comedy,slice of life",0,0,0,2,10,16,4.5
Caligula,31,109,"sci-fi,action",5,5,3,6,5,12,3.52
Ah My Buddha!!,6,18,"comedy,slice of life,supernatural,harem",0,0,2,2,2,0,3.0
Kaiji,68,318,,3,3,0,2,6,57,4.68
Genshiken,20,90,"comedy,slice of life,seinen",0,0,1,1,5,13,4.5
Hundred,177,540,"action,fantasy,comedy,romance,sci-fi,harem",48,48,26,25,25,53,3.05
Mr. TONEGAWA Middle Management Blues,22,101,"comedy,seinen,drama",0,0,1,1,4,16,4.59
The Eccentric Family 2,14,69,"comedy,drama,fantasy,supernatural,slice of life",0,0,0,0,1,13,4.93
Crazy For Me,13,61,comedy,0,0,1,0,1,11,4.69
Polar Bear Cafe,228,1053,"comedy,slice of life",3,3,6,12,33,174,4.62
The World YAMIZUKAN,5,13,"supernatural,thriller,mystery",1,1,1,2,1,0,2.6
Magi,298,1397,"action,adventure,shonen,fantasy",1,1,8,15,35,239,4.69
The Irregular at Magic High School,441,1842,"action,fantasy,sci-fi,supernatural",24,24,35,48,66,268,4.18
Inferno Cop,54,237,"comedy,action,sci-fi,supernatural",2,2,3,5,6,38,4.39
Kamigami no Asobi,158,689,"romance,supernatural,harem",5,5,8,17,23,105,4.36
Kenka Bancho Otome -Girl Beats Boys-,55,207,"action,shojo,drama,romance",3,3,7,12,11,22,3.76
The Perfect Insider,74,287,"thriller,drama,mystery,sci-fi,seinen",6,6,7,8,22,31,3.88
Zatch Bell!,29,129,"shonen,action,adventure,comedy,fantasy",1,1,1,2,5,20,4.45
FLIP FLAPPERS,88,417,"fantasy,magical girls,adventure,comedy",1,1,1,3,10,73,4.74
Flame of Recca,10,50,"action,adventure,shonen,supernatural",0,0,0,0,0,10,5.0
JUNI TAISEN: ZODIAC WAR,208,684,"fantasy,supernatural,action,shonen",29,29,44,35,38,62,3.29
Emma: A Victorian Romance,6,28,"romance,drama,historical",0,0,0,1,0,5,4.67
MARGINAL #4 the Animation,12,54,"slice of life,idols",0,0,1,0,3,8,4.5
KINMOZA!,40,180,"slice of life,comedy",1,1,1,4,5,29,4.5
"We, Without Wings - under the innocent sky",730,3295,"harem,romance",17,17,19,49,132,513,4.51
Inuyasha the Movie:  Affections Touching Across Time,0,0,"action,adventure,romance,fantasy",0,0,0,0,0,0,0.0
Gunbuster 2,12,51,"action,drama,sci-fi,mecha",0,0,2,1,1,8,4.25
Miss Kobayashi's Dragon Maid,427,2016,"slice of life,romance,comedy,fantasy",5,5,4,9,69,340,4.72
Robot Girls Z,11,46,"mecha,comedy,sci-fi,fantasy",1,1,0,2,1,7,4.18
