anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
Yonna in the Solitary Fortress,245,939,"adventure,fantasy",27,27,11,50,45,112,3.83
Miracle Train,873,4014,romance,20,20,15,47,132,659,4.6
Wakakozake (Drama),27,127,food,1,1,0,0,4,22,4.7
A Sister's All You Need.,122,526,"drama,slice of life,comedy,romance,harem",10,10,2,5,28,77,4.31
La corda d’oro -Blue Sky-,30,97,"romance,supernatural,shojo,music,harem",4,4,9,3,4,10,3.23
The Legend of Black Heaven,4,17,"music,sci-fi,adventure,action",0,0,0,0,3,1,4.25
World Break: Aria of Curse for a Holy Swordsman,125,438,"romance,action,fantasy,harem,seinen",15,15,18,25,23,44,3.5
The Melody of Oblivion,241,1020,"romance,supernatural,mecha",17,17,8,20,53,143,4.23
Natsume Yuujinchou,5158,25208,"drama,fantasy,slice of life",24,24,7,58,349,4720,4.89
This Boy Suffers from Crystallization,12,38,"fantasy,romance,drama",1,1,3,4,1,3,3.17
Pastel Memories,7,19,"comedy,slice of life,sci-fi",2,2,2,1,0,2,2.71
HAIKYU!!,525,2608,"sports,slice of life,shonen",0,0,0,0,17,508,4.97
Wizard Barristers,55,182,"action,supernatural,fantasy,thriller",5,5,10,16,11,13,3.31
8 Man After,1,1,"action,sci-fi,shonen",1,1,0,0,0,0,1.0
B-PROJECT,27,88,"romance,idols",5,5,3,7,4,8,3.26
Twin Angels BREAK,8,29,"drama,action,supernatural,shonen,magical girls",1,1,0,2,3,2,3.62
Fullmetal Alchemist: The Conqueror of Shamballa,15,54,"action,adventure,fantasy,drama,shonen",3,3,1,1,4,6,3.6
Fruits Basket,161,790,"drama,shojo,comedy,slice of life,supernatural",0,0,0,3,9,149,4.91
Kuroko's Basketball,665,3207,sports,4,4,5,18,51,587,4.82
Dusk Maiden of Amnesia,378,1772,"mystery,romance,supernatural",1,1,3,21,63,290,4.69
Accel World: Infinite Burst,3,10,sci-fi,0,0,0,2,1,0,3.33
Anifile,45,132,,21,21,0,1,7,16,2.93
Soul Buster,26,69,"action,adventure,fantasy,historical",7,7,7,5,2,5,2.65
"Kizuna AI 1st Live ""hello, world""",2,8,,0,0,0,1,0,1,4.0
Grimms Notes the Animation,29,72,"action,adventure,fantasy",12,12,3,7,2,5,2.48
Hagane Orchestra,5,22,"adventure,comedy",0,0,0,0,3,2,4.4
BAKUON!!,25,109,"comedy,slice of life",0,0,0,5,6,14,4.36
SPACE PATROL LULUCO,75,345,"comedy,action,sci-fi,fantasy,romance",0,0,1,4,19,51,4.6
100% Teacher Pascal,4,13,"comedy,slice of life",1,1,0,1,1,1,3.25
TSUKIPRO THE ANIMATION,8,30,"music,idols,slice of life",0,0,1,1,5,1,3.75
NAMUAMIDABUTSU! -UTENA-,5,15,"fantasy,adventure",1,1,1,1,1,1,3.0
KILL la KILL,682,3139,"action,adventure,shonen,comedy,sci-fi,drama,post-apocalyptic,mecha",17,17,23,21,92,529,4.6
Dancouga: Super Beast Machine God,2,8,"sci-fi,action,mecha",0,0,0,1,0,1,4.0
Ascendance of a Bookworm,117,553,"isekai,fantasy,adventure",2,2,3,3,9,100,4.73
GTO,34,157,comedy,1,1,1,1,4,27,4.62
Phi Brain,131,581,,4,4,5,11,21,90,4.44
GTO - The Animation,89,437,"comedy,drama,shonen,slice of life",1,1,0,1,2,85,4.91
Dagashi Kashi,30,126,"comedy,romance,slice of life",1,1,2,1,12,14,4.2
Naruto the Movie: Guardians of the Crescent Moon Kingdom,1,5,shonen,0,0,0,0,0,1,5.0
Showa Genroku Rakugo Shinju,106,520,"drama,historical,romance",0,0,0,2,6,98,4.91
A Dark Rabbit has Seven Lives,1130,5224,,24,24,25,49,157,875,4.62
Princess Knight,4,12,"shojo,adventure,action,drama,romance",1,1,1,0,1,1,3.0
Seton Academy: Join the Pack!,41,175,comedy,2,2,4,0,10,25,4.27
Lady Death,222,840,"supernatural,action",23,23,17,34,59,89,3.78
Saki,2367,11134,"sports,slice of life",29,29,19,80,368,1871,4.7
Death Note (Drama),90,379,,7,7,2,5,27,49,4.21
Ai-Mai-Mi Mousou Catastrophe,8,31,"comedy,slice of life",1,1,0,1,3,3,3.88
Galileo,9,43,,0,0,0,0,2,7,4.78
Gasaraki,2,5,"drama,sci-fi,supernatural,mecha",0,0,1,1,0,0,2.5
Cat's Eye,3,12,"action,romance,comedy,mystery",0,0,1,0,0,2,4.0
Web Ghosts PiPoPa,301,1383,"action,adventure,comedy,fantasy,supernatural",15,15,4,9,32,241,4.59
My Little Monster,524,2372,"romance,comedy,shojo",6,6,9,42,113,354,4.53
Crunchyroll Convention Highlights,0,0,,0,0,0,0,0,0,0.0
KAGUYA-SAMA: LOVE IS WAR,201,971,"comedy,romance,seinen",2,2,2,3,14,180,4.83
Switch Girl!!,24,99,comedy,2,2,2,0,7,13,4.12
Lostorage incited WIXOSS,20,66,"drama,thriller,sci-fi",2,2,6,2,4,6,3.3
Os Cavaleiros do Zodíaco - Alma de Ouro,59,246,"action,adventure,fantasy,shonen,drama",4,4,5,3,12,35,4.17
Hunter x Hunter,2240,10853,,21,21,13,51,122,2033,4.85
DARLING in the FRANXX,944,4098,"mecha,sci-fi,romance,action,drama",52,52,49,83,101,659,4.34
STRIKE THE BLOOD,241,943,"supernatural,action,fantasy,harem",13,13,23,46,49,110,3.91
makuranodanshi,59,194,,7,7,12,12,13,15,3.29
Angel Heart,8,39,action,0,0,0,0,1,7,4.88
BROTHERHOOD FINAL FANTASY XV,32,156,"action,fantasy,drama",0,0,0,1,2,29,4.88
Black Butler: Book of Circus,44,213,"action,supernatural,comedy,mystery",1,1,0,0,3,40,4.84
Da Capo III,10,43,"drama,romance,harem,comedy",0,0,0,2,3,5,4.3
Super Gals!,4,20,"comedy,shojo,slice of life",0,0,0,0,0,4,5.0
White Album 2,109,469,"music,slice of life,drama,romance,harem,idols",4,4,5,11,23,66,4.3
Iida Tokimeki Trip,2,8,,0,0,0,1,0,1,4.0
The Familiar of Zero,31,143,"comedy,fantasy,harem,seinen",0,0,1,1,7,22,4.61
Saki Episode of Side A,98,439,"sports,slice of life",1,1,3,10,18,66,4.48
Deltora Quest,13,58,"fantasy,adventure",1,1,0,0,3,9,4.46
Dororo Motion Magazine,22,102,"action,supernatural,adventure",1,1,0,0,4,17,4.64
I Can't Understand What My Husband Is Saying,180,837,"comedy,romance,slice of life,seinen",2,2,1,8,36,133,4.65
Cardfight!! Vanguard Link Joker (Season 3),14,60,action,1,1,1,1,1,10,4.29
given,147,714,"drama,romance,music",2,2,1,2,6,136,4.86
My Teen Romantic Comedy SNAFU,299,1389,"slice of life,drama,romance,comedy",4,4,4,15,48,228,4.65
Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc,1,4,"comedy,slice of life",0,0,0,0,1,0,4.0
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,186,529,,70,70,20,21,19,56,2.84
Monthly Girls' Nozaki-kun,258,1238,"comedy,romance",0,0,6,6,22,224,4.8
Cells at Work!,172,819,comedy,2,2,2,4,19,145,4.76
Onara Goro,17,62,"comedy,slice of life",1,1,4,2,3,7,3.65
Tokyo ESP,21,60,"action,comedy",4,4,5,4,6,2,2.86
Night on the Galactic Railroad,2,9,"fantasy,drama,adventure,mystery",0,0,0,0,1,1,4.5
Upotte!!,228,945,"seinen,comedy",17,17,8,28,47,128,4.14
Action Heroine Cheer Fruits,2,7,"comedy,slice of life,seinen",0,0,1,0,0,1,3.5
Cinderella Nine,12,51,"sports,slice of life,drama",0,0,1,3,0,8,4.25
GIRLS und PANZER,157,707,"action,sports,slice of life",5,5,4,5,36,107,4.5
SENGOKUCHOJYUGIGA,6,25,"fantasy,slice of life,comedy,historical,supernatural",1,1,0,0,1,4,4.17
BBK/BRNK,57,178,"action,sci-fi,drama,mecha",9,9,15,8,10,15,3.12
BLACKFOX,85,322,"action,sci-fi",6,6,10,15,19,35,3.79
"How clumsy you are, Miss Ueno.",34,148,"comedy,romance,seinen",0,0,2,3,10,19,4.35
Slam Dunk,2351,11039,"comedy,slice of life,sports",96,96,14,73,144,2024,4.7
Miss Bernard said.,12,53,"comedy,slice of life",0,0,0,2,3,7,4.42
Rowdy Sumo Wrestler Matsutaro,20,76,"sports,action,shonen,comedy",2,2,3,1,5,9,3.8
Ghostwriter,8,40,,0,0,0,0,0,8,5.0
Strike Witches: 501st JOINT FIGHTER WING Take Off!,5,20,"comedy,slice of life",1,1,0,0,1,3,4.0
Girl Friend BETA,13,48,"slice of life,romance",0,0,2,3,5,3,3.69
Gakuen Heaven,7,34,"comedy,romance,slice of life,drama,harem",0,0,0,0,1,6,4.86
High School Fleet,47,198,"action,sci-fi",1,1,3,7,10,26,4.21
HEROMAN,891,4053,mecha,18,18,9,58,187,619,4.55
Magical Warfare,162,441,"action,fantasy",46,46,35,28,24,29,2.72
Kamisama Dolls,705,3230,"seinen,supernatural,action,drama",6,6,7,39,172,481,4.58
Astro Boy Motion Magazine,22,82,,4,4,0,5,2,11,3.73
Seitokai No Ichizon - Student Councils Discretion,514,2442,"comedy,harem,slice of life",3,3,3,17,73,418,4.75
The Asterisk War,312,1135,"action,sci-fi,adventure,fantasy,harem",52,52,20,46,65,129,3.64
THE [email protected] SideM  Wakeatte Mini!,2,6,"music,idols,slice of life",1,1,0,0,0,1,3.0
Tonkatsu DJ Agetaro,21,97,"comedy,music,shonen,slice of life",0,0,0,2,4,15,4.62
Love Stage!!,207,978,"romance,slice of life",4,4,3,3,26,171,4.72
Magical Sempai,80,340,comedy,7,7,2,6,14,51,4.25
Giant Gorg,3,13,"action,sci-fi,mecha",0,0,0,0,2,1,4.33
OZMAFIA!!,14,42,"romance,fantasy,comedy,slice of life",3,3,3,2,3,3,3.0
Cerberus,67,156,"action,fantasy,adventure",21,21,26,8,1,11,2.33
THE [email protected] CINDERELLA GIRLS Theater,8,30,"comedy,slice of life,music,idols",2,2,0,1,0,5,3.75
Meow Meow Japanese History,5,25,"comedy,historical",0,0,0,0,0,5,5.0
Arpeggio of Blue Steel,165,733,"action,seinen,sci-fi,adventure,drama",1,1,7,17,33,107,4.44
Sailor Moon Crystal,457,2034,"shojo,action,romance,magical girls",15,15,27,31,48,336,4.45
Yuri!!! on ICE,671,3240,"sports,drama",10,10,4,11,41,605,4.83
School Days,3485,14391,"drama,harem,romance",372,372,120,271,644,2078,4.13
Banpresto World Figure Colosseum,2,10,sports,0,0,0,0,0,2,5.0
Peeping Life TV Season 1??,14,49,comedy,4,4,0,0,5,5,3.5
Onyankopon,3,5,,2,2,0,1,0,0,1.67
citrus,319,1354,"romance,drama",19,19,20,24,57,199,4.24
The 101st Proposal,4,16,,0,0,1,0,1,2,4.0
GeGeGe no Kitaro,36,160,"action,adventure,fantasy,supernatural,comedy,shonen",2,2,2,0,6,26,4.44
Kite Liberator,217,945,action,15,15,2,15,44,141,4.35
Matoi the Sacred Slayer,5,23,supernatural,0,0,0,0,2,3,4.6
A Taste of Honey,10,33,,3,3,1,0,2,4,3.3
Gabriel DropOut,100,431,"comedy,slice of life,supernatural,shonen",3,3,5,12,18,62,4.31
JoJo's Bizarre Adventure,1065,5188,,9,9,6,16,51,983,4.87
Akagi (Drama),11,47,,0,0,2,0,2,7,4.27
Monster Strike,29,75,"fantasy,action",13,13,3,2,5,6,2.59
KanColle,71,284,"action,sci-fi",5,5,5,11,14,36,4.0
Active Raid,52,141,"action,mecha,sci-fi",16,16,9,5,18,4,2.71
Hikaru no Go,12,58,"sports,fantasy",0,0,0,0,2,10,4.83
Peeping Life,121,480,"comedy,slice of life",14,14,8,7,31,61,3.97
BIG ORDER,102,248,"action,thriller,drama,mystery,post-apocalyptic",41,41,14,23,10,14,2.43
RADIANT,162,610,"shonen,action,adventure,fantasy",19,19,15,24,31,73,3.77
Junji Ito Collection,61,222,"drama,fantasy,comedy,thriller,supernatural,mystery",8,8,4,12,15,22,3.64
Touken Ranbu - Hanamaru,14,56,"comedy,action,slice of life,drama,historical,fantasy",0,0,3,2,1,8,4.0
Sekko Boys,20,73,"comedy,music,slice of life,idols",2,2,1,4,8,5,3.65
Dimension High School,9,30,"adventure,mystery",2,2,0,2,3,2,3.33
Arata the Legend,52,176,"action,adventure,fantasy,romance,isekai",6,6,9,11,11,15,3.38
MIX,13,63,"shonen,sports",0,0,0,0,2,11,4.85
Love To-LIE-Angle,32,106,"romance,comedy",5,5,3,9,7,8,3.31
Muhyo & Roji's Bureau of Supernatural Investigation,18,73,"supernatural,mystery",1,1,1,2,6,8,4.06
AMAZING STRANGER,15,56,"comedy,romance",3,3,0,1,5,6,3.73
Dances with the Dragons,33,89,"fantasy,action",9,9,6,6,10,2,2.7
Shingu: Secret of the Stellar Wars,5,23,"action,sci-fi",0,0,0,1,0,4,4.6
sweetness & lightning,121,569,"seinen,slice of life,comedy,drama",2,2,1,3,19,96,4.7
Keep Your Hands Off Eizouken!,85,398,"comedy,adventure,slice of life,drama",2,2,3,3,4,73,4.68
KONOSUBA -God's blessing on this wonderful world!,516,2402,"adventure,comedy,fantasy,supernatural,isekai",9,9,13,21,61,412,4.66
LiSA TV,4,20,music,0,0,0,0,0,4,5.0
HINAMATSURI,146,700,"slice of life,comedy,supernatural,drama",1,1,3,3,11,128,4.79
Pita-Ten,2,8,"comedy,romance,fantasy,slice of life,supernatural",0,0,0,1,0,1,4.0
Twin Star Exorcists,317,1229,"action,fantasy,adventure,supernatural,romance,shonen",22,22,39,49,53,154,3.88
Tonari no Seki-kun: The Master of Killing Time,143,672,"comedy,slice of life,romance,seinen",1,1,0,7,25,110,4.7
Days of Urashimasakatasen,3,9,comedy,1,1,0,1,0,1,3.0
DearS,19,69,"comedy,sci-fi,romance,harem",1,1,3,4,5,6,3.63
LUPIN THE 3rd PART4,18,88,"action,adventure,seinen,mystery",0,0,0,0,2,16,4.89
Flying Witch,139,652,"supernatural,slice of life,fantasy,comedy,shonen",2,2,3,4,18,112,4.69
NATSU NO ARASHI !,690,3076,"romance,supernatural,comedy",30,30,5,46,147,462,4.46
Star Driver,373,1718,action,8,8,7,21,52,285,4.61
ARIA The ANIMATION,22,107,"sci-fi,slice of life",0,0,0,1,1,20,4.86
Gugure! Kokkuri-san,58,264,"comedy,slice of life,supernatural",0,0,2,3,14,39,4.55
Libra of Nil Admirari,18,71,"romance,historical",0,0,2,3,7,6,3.94
Samurai Flamenco,105,400,"action,sci-fi,supernatural,comedy",12,12,10,13,21,49,3.81
Love is Like a Cocktail,87,358,"romance,slice of life,seinen,comedy",4,4,3,10,32,38,4.11
GAMERS!,256,982,"comedy,romance,slice of life",17,17,33,42,47,117,3.84
Nagi no Asukara (Nagi-Asu: A Lull in the Sea),259,1222,"fantasy,slice of life,drama,romance",3,3,2,12,31,211,4.72
Japanese Anime Classic Collection,49,194,drama,8,8,1,5,6,29,3.96
WATATEN!: an Angel Flew Down to Me,37,170,"slice of life,comedy",0,0,1,3,6,27,4.59
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us,155,719,"fantasy,drama,seinen,sci-fi,romance",2,2,4,7,22,120,4.64
You Don't Know Gunma Yet,14,44,"comedy,slice of life,thriller",4,4,1,0,7,2,3.14
Wish Upon the Pleiades,30,109,"fantasy,action,drama,sci-fi,magical girls",3,3,3,4,12,8,3.63
Kotoura-san,182,834,"comedy,drama,romance,supernatural",1,1,5,13,31,132,4.58
Hourou Musuko Wandering Son,668,3176,"drama,slice of life,romance",8,8,2,20,86,552,4.75
The Garden of Sinners,41,189,"action,thriller,drama,seinen,supernatural",2,2,0,2,4,33,4.61
Tabimachi Lateshow,13,59,"seinen,drama,slice of life",0,0,0,1,4,8,4.54
Captain Harlock: Arcadia of my Youth - Endless Orbit SSX,0,0,"sci-fi,adventure,drama,action",0,0,0,0,0,0,0.0
DREAM FESTIVAL!,12,44,"drama,music,idols",2,2,1,2,1,6,3.67
Schoolgirl Strikers,20,50,"action,sci-fi,supernatural,magical girls",4,4,8,5,0,3,2.5
NEW GAME!,174,783,"comedy,slice of life",2,2,7,9,40,116,4.5
Star Blazers: Space Battleship Yamato,33,155,,1,1,0,1,4,27,4.7
Nagasarete Airanto,7,30,"romance,harem",1,1,0,0,1,5,4.29
Locodol,25,110,"music,slice of life,comedy,seinen",0,0,1,1,10,13,4.4
ROOM CAMP,11,47,"slice of life,comedy",0,0,2,0,2,7,4.27
El-Hazard: The Wanderers,6,19,"adventure,comedy,isekai",1,1,1,2,0,2,3.17
Hard To Say I Love You,10,47,,0,0,0,1,1,8,4.7
"Ceres, Celestial Legend",12,46,"drama,supernatural,romance",0,0,2,3,2,5,3.83
Female Convict Scorpion,2,6,"action,martial arts",0,0,0,2,0,0,3.0
Umi Monogatari,2,5,"comedy,drama,fantasy,magical girls",0,0,1,1,0,0,2.5
The Laughing Salesman,24,92,"seinen,thriller,supernatural,mystery",4,4,1,2,5,12,3.83
Encouragement Of Climb,25,110,"slice of life,sports,comedy",0,0,2,1,7,15,4.4
VS Knight Lamune & 40 Fire,1,5,"fantasy,action,comedy",0,0,0,0,0,1,5.0
Japa Con Presents: Agent HaZAP,2,6,music,1,1,0,0,0,1,3.0
The File of Young Kindaichi Returns,29,113,"adventure,thriller,shonen,mystery,supernatural",1,1,2,7,8,11,3.9
Himegoto,61,219,"comedy,slice of life,harem",10,10,3,12,13,23,3.59
World Conquest Zvezda Plot,70,295,"action,adventure,fantasy,shonen,comedy,sci-fi",1,1,6,7,19,37,4.21
Food Wars! Shokugeki no Soma,884,4214,"action,comedy,shonen",10,10,16,17,84,757,4.77
Ringing Bell,2,8,"adventure,drama,fantasy",0,0,0,1,0,1,4.0
Unlimited Fafnir,48,161,"action,fantasy,harem,supernatural,seinen",5,5,6,16,9,12,3.35
11eyes,2137,9790,"harem,seinen",43,43,42,111,375,1566,4.58
ARGEVOLLEN,69,224,"mecha,action,sci-fi",8,8,11,21,14,15,3.25
Hackadoll THE ANIMATION,16,62,comedy,1,1,1,2,7,5,3.88
R.O.D.,24,111,"action,sci-fi,comedy,drama",0,0,2,1,1,20,4.62
Outbreak Company,77,340,"comedy,fantasy,action,romance,adventure,harem,isekai",0,0,5,6,18,48,4.42
Basilisk : The Ouka Ninja Scrolls,48,104,"seinen,fantasy,action,drama,romance,historical",25,25,7,5,5,6,2.17
Key the Metal Idol,5,18,"drama,sci-fi,mecha,idols",1,1,1,0,0,3,3.6
Rascal Does Not Dream of Bunny Girl Senpai,475,2316,"romance,comedy,supernatural,slice of life",3,3,3,6,26,437,4.88
HEYBOT!,14,40,"comedy,sci-fi",4,4,3,2,1,4,2.86
Angels of Death,168,655,mystery,17,17,16,21,27,87,3.9
Gokudo,5,24,"adventure,comedy,fantasy",0,0,0,0,1,4,4.8
GTO Taiwan,8,30,comedy,0,0,0,4,2,2,3.75
Ao-chan Can't Study!,52,237,"comedy,romance",0,0,0,4,15,33,4.56
ISUCA,58,171,"action,comedy,romance,supernatural",9,9,17,11,10,11,2.95
My Mental Choices are Completely Interfering with my School Romantic Comedy,178,778,"comedy,slice of life,romance,harem",3,3,6,19,44,106,4.37
Asobi Asobase - workshop of fun -,120,577,"comedy,slice of life",3,3,1,1,6,109,4.81
The Quintessential Quintuplets,157,716,"comedy,romance,harem,slice of life",1,1,6,8,31,111,4.56
Divine Gate,1,4,"drama,romance,mystery",0,0,0,0,1,0,4.0
Yu-Gi-Oh! 5D's,28,132,"shonen,sci-fi,action,fantasy,supernatural",0,0,0,1,6,21,4.71
Knuspercast,1,5,,0,0,0,0,0,1,5.0
Sailor Moon R: The Movie,1,5,shojo,0,0,0,0,0,1,5.0
"Love, Chunibyo & Other Delusions - Heart Throb -",89,404,"slice of life,comedy,drama,romance",1,1,2,9,13,64,4.54
SD GUNDAM WORLD SANGOKU SOKETSUDEN,6,15,"action,mecha,shonen,adventure",3,3,0,1,1,1,2.5
Overlord,546,2527,"action,fantasy,isekai,adventure,supernatural",23,23,14,17,35,457,4.63
Investor Z (Motion Manga),3,14,"drama,seinen",0,0,0,0,1,2,4.67
Linebarrels of Iron,3026,13850,,145,145,25,130,365,2361,4.58
Dies irae,69,191,"historical,fantasy,action",21,21,17,6,7,18,2.77
Campione!,139,607,"harem,romance,fantasy",5,5,6,16,18,94,4.37
Fate/Grand Order ‐First Order‐,33,117,"action,fantasy,supernatural",5,5,2,5,12,9,3.55
ANISAVA,10,40,"comedy,slice of life",1,1,0,1,4,4,4.0
Fafner Exodus,33,138,"mecha,action,sci-fi,adventure",4,4,1,1,6,21,4.18
Noblesse: Awakening,105,486,"action,supernatural,thriller",1,1,5,4,12,83,4.63
Kanojo ga Flag wo Oraretara (If Her Flag Breaks),51,175,"comedy,harem,romance,slice of life",4,4,8,14,12,13,3.43
Tono to Issho,213,906,"comedy,historical",17,17,5,15,46,130,4.25
Welcome to the JAPARI PARK,7,25,,2,2,0,0,2,3,3.57
Sword Art Online,3459,15229,fantasy,164,164,153,283,385,2474,4.4
Blade Runner Black Out 2022,23,103,"sci-fi,action",2,2,0,0,4,17,4.48
Fantasista Doll,22,80,"fantasy,action,comedy,sci-fi,magical girls",2,2,4,4,2,10,3.64
Last Period: the journey to the end of the despair,20,63,"action,adventure,comedy,fantasy",5,5,3,2,4,6,3.15
Shamanic Princess,9,33,"action,drama,romance,fantasy,magical girls",0,0,2,2,2,3,3.67
Always the Two of Us,9,40,,0,0,0,1,3,5,4.44
Chi's Sweet Home - Chi's New Address,2467,11947,slice of life,30,30,8,31,182,2216,4.84
Lord Marksman and Vanadis,47,192,"action,adventure,fantasy,romance,harem,historical",3,3,3,6,10,25,4.09
Nogizaka Haruka no Himitsu - Purezza -,966,4596,"romance,comedy,slice of life",10,10,6,22,132,796,4.76
Wacky TV Nanana,6,26,comedy,0,0,0,2,0,4,4.33
FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE,8,28,"action,adventure,drama,fantasy",1,1,1,2,1,3,3.5
Kabaneri of the Iron Fortress,48,198,"action,supernatural,post-apocalyptic,thriller",3,3,1,6,15,23,4.12
ORESUKI Are you the only one who loves me?,141,660,romance,3,3,2,6,15,115,4.68
The Case Files of Jeweler Richard,16,76,"drama,slice of life,seinen",0,0,0,1,2,13,4.75
Anne-Happy,34,140,"comedy,slice of life",0,0,4,3,12,15,4.12
Love Rice,13,45,"comedy,slice of life",1,1,3,3,1,5,3.46
The Tower of DRUAGA -the Sword of URUK-,1644,7745,"adventure,comedy,fantasy",31,31,9,59,206,1339,4.71
Fist of the Blue Sky: Regenesis,29,79,"action,adventure,shonen",10,10,5,4,3,7,2.72
Engaged to the Unidentified,72,315,"comedy,romance,slice of life",0,0,4,8,17,43,4.38
Magia Record: Puella Magi Madoka Magica Side Story,11,50,fantasy,0,0,0,2,1,8,4.55
Inukami!,5,24,"action,comedy,romance,supernatural",0,0,0,0,1,4,4.8
Utawarerumono The False Faces,66,225,"fantasy,adventure,sci-fi,supernatural",5,5,14,16,11,20,3.41
MONSTER MUSUME EVERYDAY LIFE WITH MONSTER GIRLS,289,1268,"fantasy,comedy,harem",17,17,9,18,46,199,4.39
Spiritpact,107,401,"action,supernatural,adventure,drama,seinen",20,20,6,10,16,55,3.75
Teekyu,43,184,"sports,comedy,slice of life,shonen",2,2,3,3,8,27,4.28
THE UNLIMITED Hyobu Kyosuke,72,341,"supernatural,action,adventure,sci-fi",0,0,0,4,11,57,4.74
Anime Recap,7,25,,1,1,2,0,0,4,3.57
Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,33,151,"fantasy,supernatural,mystery",1,1,0,1,8,23,4.58
Magic of Stella,2,10,"slice of life,comedy",0,0,0,0,0,2,5.0
Senyu.,78,339,"comedy,fantasy,action,shonen",4,4,2,6,17,49,4.35
Nisemonogatari,540,2523,"comedy,mystery,seinen,supernatural,drama,action,harem,fantasy",15,15,9,19,52,445,4.67
Ordinary Miracles,9,39,,1,1,0,1,0,7,4.33
Tenjho Tenge,13,35,"action,seinen,supernatural",4,4,3,0,5,1,2.69
Kamen no Maid Guy,1,5,"comedy,action",0,0,0,0,0,1,5.0
Chitose Get You!,41,174,"comedy,slice of life",3,3,2,1,11,24,4.24
Gurren Lagann,325,1577,"action,comedy,sci-fi,mecha,post-apocalyptic",3,3,2,6,18,296,4.85
Bladedance of Elementalers,99,359,"fantasy,action,comedy,romance,harem",17,17,9,10,21,42,3.63
Cardcaptor Sakura: The Movie,3,11,"adventure,comedy,shojo,magical girls",0,0,0,1,2,0,3.67
The Royal Tutor,74,337,"historical,comedy,slice of life,shonen",0,0,1,7,16,50,4.55
King's Game,233,476,"drama,thriller,supernatural,mystery",133,133,33,18,22,27,2.04
Galaxy High School,49,158,sci-fi,15,15,5,3,6,20,3.22
KAIJU GIRLS,7,32,"comedy,fantasy,sci-fi",0,0,0,1,1,5,4.57
Asura Cryin',1406,6652,"action,fantasy,harem,mecha",10,10,14,53,190,1139,4.73
One Week Friends,89,416,"romance,drama,slice of life",1,1,0,6,13,69,4.67
Fire Force,200,836,"action,shonen,supernatural",19,19,13,17,15,136,4.18
Dragon Ball Super,479,2029,"action,sci-fi,shonen,fantasy",40,40,28,32,58,321,4.24
Hamatora,93,388,"mystery,action,comedy,drama,supernatural",2,2,7,15,18,51,4.17
Plastic Memories,363,1679,"drama,sci-fi,romance",7,7,7,25,37,287,4.63
Shining Tears X Wind,8,21,"action,adventure,fantasy",2,2,2,2,1,1,2.62
Naruto Shippuuden,48518,233346,,1111,1111,275,817,2341,43974,4.81
Log Horizon,576,2619,"action,fantasy,adventure,drama,sci-fi",12,12,13,35,104,412,4.55
Ultra Maniac,2,7,"shojo,romance,comedy,magical girls",0,0,0,1,1,0,3.5
Mizu no Kotoba,349,1637,drama,4,4,2,12,62,269,4.69
Yotsuiro Biyori,31,152,"slice of life,comedy",0,0,0,0,3,28,4.9
Ai-Mai-Mi Surgical Friends,7,27,"comedy,slice of life",1,1,0,2,0,4,3.86
Case Closed,97,477,"adventure,drama,thriller,mystery",0,0,0,0,8,89,4.92
KONOHANA KITAN,54,246,"slice of life,comedy,fantasy,seinen",1,1,3,2,7,41,4.56
You Taught Me All the Precious Things,8,36,,0,0,0,1,2,5,4.5
Break Ups,49,200,"drama,romance,slice of life",3,3,2,5,17,22,4.08
Karate Girl,7,31,"action,martial arts,thriller",0,0,0,1,2,4,4.43
Ace of the Diamond,195,902,"sports,slice of life,shonen",3,3,7,8,24,153,4.63
Street Fighter II: The Animated Series,6,17,action,1,1,2,1,1,1,2.83
Big Windup! 2,7,33,"sports,drama",0,0,0,1,0,6,4.71
SAIYUKI RELOAD BLAST,29,131,"action,adventure,fantasy,supernatural,drama",0,0,3,1,3,22,4.52
In Another World With My Smartphone,499,1727,"action,adventure",94,94,64,55,90,196,3.46
Lychee Light Club,23,79,"comedy,drama,romance",3,3,2,7,4,7,3.43
The Prince of Tennis II,414,1952,sports,5,5,8,16,42,343,4.71
"If It's for My Daughter, I'd Even Defeat a Demon Lord",133,536,"fantasy,slice of life",18,18,6,8,23,78,4.03
True Cooking Master Boy,27,95,shonen,5,5,3,4,3,12,3.52
Shiratori Reiko,8,27,,1,1,1,2,2,2,3.38
Broken Blade,74,340,"shonen,adventure,action,fantasy,sci-fi,drama,mecha",0,0,3,6,9,56,4.59
H2O: Footprints in the Sand,1889,9017,"drama,romance,slice of life",27,27,15,49,177,1621,4.77
HIMOTE HOUSE: A share house of super psychic girls,18,48,comedy,8,8,0,2,6,2,2.67
Fushigi Yugi: Eikoden,5,16,"adventure,fantasy,romance,drama,shojo,isekai",1,1,1,1,0,2,3.2
22/7 (nanabun no nijyuuni),3,14,,0,0,0,0,1,2,4.67
Super Robot Wars: Original Generation,3,10,"action,sci-fi,adventure,mecha",0,0,1,0,2,0,3.33
